C Data Columns are: time,Chan 101,time,Chan 102,time,Chan 103
C Channel Labels: secs,volts,secs,volts,secs,volts
C Channel conv factors: 1,1,1,1,1,1
145.502,1.61654,145.51,2.25726,145.518,2.1898
146.002,1.61754,146.01,2.26488,146.018,2.2007
146.502,1.61782,146.51,2.27265,146.518,2.21302
147.002,1.61839,147.01,2.2802,147.018,2.22485
147.502,1.61775,147.51,2.28789,147.518,2.23738
148.002,1.61861,148.01,2.2958,148.018,2.24843
148.502,1.61896,148.51,2.30349,148.518,2.26089
149.002,1.61946,149.01,2.31104,149.018,2.27215
149.502,1.61875,149.51,2.31909,149.518,2.2839
150.002,1.61968,150.01,2.32643,150.019,2.29552
150.502,1.61989,150.51,2.33434,150.518,2.30734
151.002,1.62046,151.01,2.34196,151.018,2.31902
151.502,1.62025,151.51,2.34959,151.518,2.33163
152.002,1.62053,152.01,2.35728,152.018,2.3431
152.502,1.6206,152.51,2.36511,152.518,2.35671
153.002,1.6216,153.01,2.37274,153.018,2.36882
153.502,1.62053,153.51,2.38036,153.519,2.38
154.002,1.62146,154.011,2.38805,154.019,2.39233
154.502,1.62153,154.51,2.39568,154.518,2.40487
155.002,1.6221,155.01,2.4033,155.018,2.41712
155.502,1.62181,155.51,2.41128,155.518,2.42951
156.002,1.62238,156.01,2.41883,156.019,2.44262
156.502,1.62181,156.51,2.42681,156.518,2.45395
157.002,1.62302,157.01,2.43436,157.018,2.46691
157.502,1.6221,157.51,2.44184,157.518,2.47831
158.002,1.62274,158.01,2.44946,158.018,2.49078
158.502,1.62302,158.51,2.45737,158.518,2.5036
159.002,1.62302,159.01,2.46506,159.018,2.51664
159.502,1.62274,159.51,2.47304,159.518,2.52804
160.002,1.62331,160.01,2.48066,160.018,2.54058
160.502,1.62302,160.51,2.48807,160.518,2.55383
161.002,1.62359,161.01,2.49548,161.018,2.56615
161.502,1.62302,161.51,2.50346,161.518,2.57769
162.002,1.62359,162.01,2.51108,162.018,2.59044
162.502,1.62388,162.51,2.51906,162.518,2.60326
163.002,1.62374,163.01,2.52675,163.018,2.61652
163.502,1.62331,163.51,2.53438,163.518,2.62962
164.002,1.62395,164.01,2.54186,164.018,2.64245
164.502,1.62367,164.51,2.54969,164.518,2.65627
165.002,1.62416,165.01,2.55725,165.018,2.66937
165.502,1.62338,165.51,2.56522,165.518,2.68262
166.002,1.62395,166.01,2.57292,166.018,2.69531
166.502,1.62416,166.51,2.58082,166.518,2.71034
167.002,1.62424,167.01,2.58852,167.018,2.72316
167.502,1.62295,167.51,2.596,167.518,2.73855
168.002,1.62359,168.01,2.60341,168.018,2.75087
168.502,1.62331,168.51,2.61132,168.518,2.76612
169.002,1.62359,169.01,2.61894,169.018,2.77922
169.502,1.62267,169.51,2.62663,169.518,2.79255
170.002,1.62331,170.01,2.63454,170.018,2.80523
170.502,1.62295,170.51,2.64223,170.518,2.81912
171.002,1.62324,171.01,2.64978,171.018,2.83215
171.502,1.62181,171.51,2.65748,171.518,2.84683
172.002,1.6221,172.01,2.6651,172.018,2.86101
172.502,1.62181,172.51,2.67301,172.518,2.8734
173.002,1.62153,173.01,2.68063,173.018,2.84854
173.502,1.61975,173.51,2.68839,173.532,0.345908
174.002,1.61961,174.01,2.69602,174.035,-1.9057
174.502,1.61868,174.51,2.70364,174.518,-2.47881
175.002,1.61811,175.01,2.71112,175.018,-2.35037
175.502,1.6159,175.51,2.71874,175.532,0.35345
176.002,1.61476,176.011,2.72693,176.037,1.77854
176.502,1.61319,176.51,2.73441,176.518,2.69367
177.002,1.61156,177.01,2.74197,177.018,4.4809
177.502,1.60828,177.51,2.74987,177.518,4.86038
178.002,1.60578,178.01,2.75742,178.018,5.94919
178.502,1.60215,178.51,2.76526,178.518,7.10995
179.002,1.59845,179.01,2.77281,179.019,2.23738
179.502,1.5936,179.51,2.78051,179.518,1.16867
180.002,1.58876,180.01,2.78806,180.018,1.04699
180.502,1.58306,180.51,2.79611,180.532,-0.375719
181.002,1.57779,181.01,2.8038,181.022,0.689417
181.502,1.56988,181.51,2.81128,181.522,0.336116
182.002,1.56311,182.01,2.81897,182.022,0.169401
182.502,1.55428,182.51,2.82667,182.536,-1.51866
183.002,1.54545,183.01,2.83429,183.018,-2.52483
183.502,1.53533,183.51,2.84227,183.518,-1.97551
184.002,1.52578,184.01,2.84989,184.018,-1.11759
184.502,1.5141,184.51,2.85787,184.532,0.177127
185.002,1.50285,185.01,2.86528,185.022,0.14632
185.502,1.48831,185.511,2.87276,185.523,0.160691
186.002,1.47471,186.01,2.88045,186.022,0.187746
186.502,1.45918,186.51,2.88836,186.522,0.189042
187.002,1.44265,187.01,2.89598,187.022,0.198278
187.502,1.42448,187.51,2.90396,187.523,0.213611
188.002,1.40632,188.01,2.91166,188.022,0.215598
188.502,1.38352,188.51,2.91914,188.522,0.215548
189.002,1.35545,189.01,2.92662,189.022,0.215584
189.528,0.021486,189.539,2.93004,189.551,0.213711
190.002,0.0214952,190.014,2.92996,190.026,0.214815
190.502,0.021491,190.514,2.92996,190.526,0.215142
191.002,0.0214945,191.014,2.93004,191.026,0.215157
191.502,0.0214995,191.514,2.92989,191.527,0.214914
192.002,0.0214974,192.014,2.92996,192.026,0.215256
192.502,0.0214938,192.514,2.92989,192.526,0.215178
193.002,0.021491,193.014,2.93004,193.026,0.215313
193.502,0.021496,193.514,2.92982,193.526,0.215292
194.002,0.0215009,194.014,2.92989,194.026,0.215441
194.502,0.0215059,194.514,2.92996,194.526,0.215449
195.002,0.0215017,195.014,2.92996,195.026,0.21547
195.502,0.0215031,195.514,2.92989,195.526,0.215377
196.002,0.0215017,196.014,2.93004,196.026,0.215584
196.502,0.0215067,196.514,2.92996,196.526,0.215619
197.002,0.0215095,197.014,2.92989,197.026,0.215441
197.502,0.0215052,197.514,2.92982,197.526,0.215541
198.002,0.0215031,198.014,2.92989,198.026,0.215463
